SA2 code,Name
702011051,Ross
702011049,Mount Johns
702011048,Larapinta
702011047,Flynn (NT)
702011046,East Side
702011045,Charles
701041042,Palmerston - South
701041041,Palmerston - North
701041040,Moulden
701041039,Gray
701041038,Durack - Marlow Lagoon
701041037,Driver
701041036,Bakewell
701031034,Virginia
701031031,Howard Springs
701021030,Wulagi
701021029,Wanguri
701021028,Wagaman
701021027,Tiwi
701021026,Rapid Creek
701021025,Nightcliff
701021024,Moil
701021023,Millner
701021022,Malak - Marrara
701021021,Lyons (NT)
701021020,Leanyer
701021019,Karama
701021018,Jingili
701021017,East Arm
701021016,Coconut Grove
701021015,Charles Darwin
701021013,Brinkin - Nakara
701021012,Berrimah
701021011,Anula
701021010,Alawa
701011009,Woolner - Bayview - Winnellie
701011008,Stuart Park
701011007,Parap
701011006,Ludmilla - The Narrows
701011005,Larrakeyah
701011004,Fannie Bay - The Gardens
701011003,East Point
701011002,Darwin City
701011001,Darwin Airport
318021491,Wulguru - Roseneath
318021490,Townsville City - North Ward
318021488,South Townsville - Railway Estate
318021487,Oonoonba
318021485,Mundingburra
318021484,Mount Louisa
318021482,Kirwan - West
318021481,Kirwan - East
318021480,Kelso
318021479,Hyde Park - Pimlico
318021478,Hermit Park - Rosslea
318021477,Heatley
318021476,Gulliver - Currajong - Vincent
318021475,Garbutt - West End
318021474,Douglas
318021473,Deeragun
318021472,Cranbrook
318021471,Condon - Rasmussen
318021470,Bohle Plains
318021469,Belgian Gardens - Pallarenda
318021468,Annandale
318021467,Aitkenvale
312021358,West Mackay
312021356,South Mackay
312021355,Slade Point
312021354,Shoal Point - Bucasia
312021344,Eimeo - Rural View
312021350,Ooralea - Bakers Creek
312021349,North Mackay
312021348,Mount Pleasant - Glenella
312021347,Mackay Harbour
312021346,Mackay
312021343,East Mackay
308051539,West Gladstone
308051538,Telina - Toolooa
308051537,South Trees
308051536,Kin Kora - Sun Valley
308051534,Gladstone
308051533,Clinton - New Auckland
308051532,Callemondah
308051531,Boyne Island - Tannum Sands
308031222,The Range - Allenstown
308031217,Rockhampton City
308031216,Rockhampton - West
308031215,Parkhurst - Kawana
308031214,Park Avenue
308031213,Norman Gardens
308031210,Gracemere
308031209,Glenlee - Rockyview
308031208,Frenchville - Mount Archer
308031205,Berserker
306021157,Woree
306021156,Whitfield - Edge Hill
306021155,White Rock
306021154,Westcourt - Bungalow
306021153,Mount Sheridan
306021152,Manunda
306021151,Manoora
306021149,Kanimbla - Mooroobool
306021147,Edmonton
306021146,Earlville - Bayview Heights
306021145,Cairns City
306021144,Bentley Park
306011143,Yorkeys Knob - Machans Beach
306011142,Trinity Beach - Smithfield
306011141,Redlynch
306011140,Freshwater - Stratford
306011139,Clifton Beach - Kewarra Beach
306011138,Brinsmead
701041044,Woodroffe
701041043,Rosebery - Bellamack
312021342,Andergrove - Beaconsfield
