SA2 code,Name
701031035,Weddell
701031033,Koolpinyah
701031032,Humpty Doo
701021014,Buffalo Creek
318021489,Townsville - South
318021486,Northern Beaches
318011465,Ingham Region
318011461,Burdekin
318011460,Ayr
312031361,Proserpine
312031360,Cape Conway
312031359,Airlie - Whitsundays
312021357,Walkerston - Eton
312021353,Seaforth - Calen
312021352,Sarina
312021351,Pioneer Valley
312021345,Eungella Hinterland
312011338,Broadsound - Nebo
308051535,Gladstone Hinterland
308031221,Shoalwater Bay
308031220,Rockhampton Region - West
308031219,Rockhampton Region - North
308031218,Rockhampton Region - East
308031212,Mount Morgan
308031211,Lakes Creek
308031207,Emu Park
308031206,Bouldercombe
308011190,Central Highlands - East
306051169,Malanda - Yungaburra
306051168,Kuranda
306041165,Port Douglas
306031163,Yarrabah
306031162,Wooroonooran
306031161,Tully
306031160,Johnstone
306031158,Babinda
306021150,Lamb Range
306021148,Gordonvale - Trinity
318011464,Ingham
